"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"11","295.8277137118794","160.62214451044534","4.972305689737398","-0.307214316560019","0.12939999999999996","0.1304","0.12839999999999996","1300","0.0005081605016603782","0","0.0005081605016603782","0.0005081605016603782","11_12:0.011914773419284264","11_12:660","true"
"12","213.69420464377208","126.10943494778124","4.936319107472835","-0.3079608272575031","0.012800000000000034","0.012800000000000034","0.0128","1300","0.00023489222695693605","0","0.00023489222695693605","0.00023489222695693605","12_17:0.0049210053414228405","12_17:660","true"
"13","342.40924894674754","90.02889870505939","5.005809502119509","-0.3067650398842775","0.015100000000000002","0.0074","0.022800000000000042","1300","0.0002552640678871274","0","0.0002552640678871274","0.0002552640678871274","13_12:0.006675803310496858","13_12:660","true"
"14","132.9888567890425","89.2278729759577","4.903344760967439","-0.308419961199297","0.01770000000000005","0.0206","0.014800000000000035","1300","0.0010269709659332799","0","0.0010269709659332799","0.0010269709659332799","14_0:0.011111546591230509;14_18:0.007749785778597751","14_0:660;14_18:660","true"
"15","285.373218617848","48.844471838819004","4.947914953560998","-0.308052427832017","0.015600000000000058","0.0152","0.016000000000000014","1300","0.0001279593858080672","0","0.0001279593858080672","0.0001279593858080672","15_22:0.006578814373573744","15_22:660","true"
"16","242.34301138885237","15.25543503134071","4.9603281019871295","-0.3076594514774509","0.01419999999999999","0.014399999999999968","0.014","1300","0.0004820192747512896","0","0.0004820192747512896","0.0004820192747512896","16_8:0.022840647005863163;16_26:0.012173213202990835","16_8:660;16_26:660","true"
"17","216.6708400537725","306.2105421068768","4.820823460371974","-0.30970435909943395","0.015000000000000013","0.012800000000000034","0.0172","1300","0.00014061021488657077","0","0.00014061021488657077","0.00014061021488657077","17_30:0.010489859150860259","17_30:660","true"
"18","340.80228754665046","139.44467319221718","4.788139278987067","-0.31063598977187784","0.09999999999999998","0.0988","0.1012","1300","0.00010588504171057113","0","0.00010588504171057113","0.00010588504171057113","18_19:0.0031349384061485908","18_19:660","true"
"19","317.29292542412287","124.30845071754848","4.7469924322616","-0.31072395279331844","0.08430000000000004","0.09599999999999997","0.0726","1300","0.00013268663075206426","0","0.00013268663075206426","0.00013268663075206426","","","true"
"20","228.21876046736722","252.45999736213983","4.862313786651259","-0.3090978906556921","0.01529999999999998","0.0126","0.018000000000000016","1300","0.0002913567530811752","0","0.0002913567530811752","0.0002913567530811752","20_33:0.006660732315724505;20_19:0.009784208408754547","20_33:660;20_19:660","true"
"21","279.13562433372374","95.06071985244023","4.9664950331928335","-0.30694839478531033","0.007500000000000062","0.007800000000000029","0.0072","1300","0.0005468154842401472","0","0.0005468154842401472","0.0005468154842401472","21_20:0.009471726092327715;21_22:0.008790085025907612","21_20:660;21_22:660","true"
"22","278.6699821460273","173.9598770564214","5.038197876457438","-0.3065535436677073","0.01649999999999996","0.016800000000000037","0.0162","1300","0.00019425499720276563","0","0.00019425499720276563","0.00019425499720276563","22_23:0.006606609853101741","22_23:660","true"
"23","343.28130380693466","67.58354370223033","4.844974504703859","-0.309395699354676","0.018000000000000016","0.018","0.018000000000000016","1300","0.0002180321217398815","0","0.0002180321217398815","0.0002180321217398815","","","true"
"24","230.82566457455542","86.7306349051038","5.100790397005483","-0.3054983979252499","0.1333333333333333","0.12333333333333334","0.1433333333333333","1300","0.00023894446521146982","0","0.00023894446521146982","0.00023894446521146982","24_23:0.007950197876547799;24_34:1","24_23:660;24_34:660","true"
"25","305.8252093795814","232.66210381229502","4.945232228281061","-0.3084275156167526","0.013700000000000045","0.009000000000000008","0.0184","1300","0.00015247216870553274","0","0.00015247216870553274","0.00015247216870553274","25_24:0.005209935089679207","25_24:660","true"
"26","192.0656407989237","149.25678439651662","4.854079644904046","-0.30976922795032275","0.009200000000000097","0.0118","0.00660000000000005","1300","0.00027384767666571236","0","0.00027384767666571236","0.00027384767666571236","26_25:0.012502140458743344","26_25:660","true"
"27","368.2393742613134","260.03976809355333","4.747574990089512","-0.31027519414312993","0.05820000000000003","0.0582","0.05820000000000003","1300","0.0001314598774372611","0","0.0001314598774372611","0.0001314598774372611","27_26:0.0048005490642938076","27_26:660","true"
"28","224.04278073340276","76.60810255177252","4.99440242324861","-0.3073714140177614","0.040999999999999925","0.0154","0.06659999999999999","1300","0.00028817365266820417","0","0.00028817365266820417","0.00028817365266820417","28_27:0.008006029482963917;28_29:0.009435919107369656;28_35:0.009926561420404767","28_27:660;28_29:660;28_35:660","true"
"29","452.36713306587313","334.2698323448202","4.6286491295706345","-0.3122408870668324","0.01980000000000004","0.02","0.01959999999999995","1300","0.00009645707408613628","0","0.00009645707408613628","0.00009645707408613628","","","true"
"30","377.36453882664756","61.97798803623191","4.732965719362059","-0.31090012417705765","0.008399999999999963","0.01100000000000001","0.0058","1300","0.0007844422006174877","0","0.0007844422006174877","0.0007844422006174877","30_29:0.014046624063049018;30_31:0.011326195311063186","30_29:660;30_31:660","true"
"31","234.14010936100732","66.7893444654738","4.797666871392719","-0.31025628620305007","0.0046000000000000485","0.005600000000000049","0.0036","1300","0.00019468655300493027","0","0.00019468655300493027","0.00019468655300493027","31_32:0.004988831872246191","31_32:660","true"
"32","229.82079811301492","264.99771955880243","4.910386069926192","-0.3078794303810588","0.008199999999999985","0.01100000000000001","0.0054","1300","0.00020140735640778584","0","0.00020140735640778584","0.00020140735640778584","32_36:0.004641997620747407","32_36:660","true"
"33","182.74703986648683","103.41744306731641","4.973179864912966","-0.3075486854907048","0.013900000000000023","0.011800000000000033","0.016","1300","0.00021632738003605933","0","0.00021632738003605933","0.00021632738003605933","33_39:0.016168980057986254","33_39:660","true"
"34","276.6713150343059","76.08901071308391","4.678636054063652","-0.3124338462946453","0.07833333333333337","0.07","0.08666666666666667","1300","0.00017057687733118437","0","0.00017057687733118437","0.00017057687733118437","34_43:0.008166035219631107","34_43:660","true"
"35","238.24120188029494","115.95103875676277","4.907602427825297","-0.308301773576246","0.015800000000000036","0.0152","0.01639999999999997","1300","0.000306305446427419","0","0.000306305446427419","0.000306305446427419","35_47:0.027694332082294437","35_47:660","true"
"36","462.52327554587185","360.6644545249494","4.8122759352200895","-0.31175120998201256","0.011600000000000055","0.0126","0.010600000000000054","1300","0.0001373822573280962","0","0.0001373822573280962","0.0001373822573280962","36_51:0.00248956873523698","36_51:660","true"
"37","254.01275804534131","119.74325274003688","4.837909740474339","-0.30886995110205334","0.016700000000000048","0.0116","0.02180000000000004","1300","0.00011235886897818888","0","0.00011235886897818888","0.00011235886897818888","37_38:0.012669857518725403","37_38:660","true"
"38","264.5121064897808","121.59038631529992","4.776679833049806","-0.31016511917022377","0.015000000000000013","0.01880000000000004","0.0112","1300","0.0008367085563034602","0","0.0008367085563034602","0.0008367085563034602","","","true"
"39","252.1190393790195","89.4983169895323","4.917369422541952","-0.30824769981735706","0.0262","0.0256","0.026800000000000046","1300","0.0005792876035315956","0","0.0005792876035315956","0.0005792876035315956","39_38:0.015409892029771444","39_38:660","true"
"40","297.6919432227487","37.98665643067167","4.86820398819914","-0.30859152479413265","0.011600000000000055","0.0126","0.010600000000000054","1300","0.00021312147291999573","0","0.00021312147291999573","0.00021312147291999573","40_41:0.006310221535506921;40_39:0.009301631297697455","40_41:660;40_39:660","true"
"41","114.83951131139993","65.72942977260526","4.93554356404785","-0.30862641143413133","0.011900000000000022","0.017199999999999993","0.0066","1300","0.00042866759058817313","0","0.00042866759058817313","0.00042866759058817313","41_53:0.007388341103933438","41_53:660","true"
